Country,Year,Rank,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,ID,Score_log
France,2016,32,6.478,1.39488,1.00508,0.83795,0.46562,0.1216,0.17808,201632,2.011965376554922
Thailand,2016,33,6.474,1.0893,1.04477,0.64915,0.49553,0.58696,0.02833,201633,2.011430331063292
Saudi Arabia,2016,34,6.379,1.48953,0.84829,0.59267,0.37904,0.15457,0.30008,201634,1.9986381280762295
Taiwan,2016,34,6.379,1.39729,0.92624,0.79565,0.32377,0.25495,0.0663,201635,1.9986381280762295
Qatar,2016,36,6.375,1.82427,0.87964,0.71723,0.56679,0.32388,0.48049,201636,1.9980959022258835
Spain,2016,37,6.361,1.34253,1.12945,0.87896,0.37545,0.17665,0.06137,201637,1.9961957930765688
Algeria,2016,38,6.355,1.05266,0.83309,0.61804,0.21006,0.07044,0.16157,201638,1.995380354053401
Guatemala,2016,39,6.324,0.83454,0.87119,0.54039,0.50379,0.28808,0.08701,201639,1.9911566268122642
Suriname,2016,40,6.269,1.09686,0.77866,0.50933,0.52234,0.16665,0.12692,201640,1.9836187305024984
Kuwait,2016,41,6.239,1.61714,0.87758,0.63569,0.43166,0.15965,0.23669,201641,1.9794830753110044
Bahrain,2016,42,6.218,1.44024,0.94397,0.65696,0.47375,0.17147,0.25772,201642,1.9765779062205968
Trinidad and Tobago,2016,43,6.168,1.32572,0.98569,0.52608,0.48453,0.31935,0.01241,201643,1.9696266756726293
Venezuela,2016,44,6.084,1.13367,1.03302,0.61904,0.19847,0.0425,0.08304,201644,1.9578387199205871
Slovakia,2016,45,6.078,1.27973,1.08268,0.70367,0.23391,0.13837,0.02947,201645,1.9569913819232716
El Salvador,2016,46,6.068,0.8737,0.80975,0.596,0.37269,0.08877,0.10613,201646,1.9555775544574499
Malaysia,2016,47,6.005,1.25142,0.88025,0.62366,0.39031,0.41474,0.09081,201647,1.9466241797889703
Nicaragua,2016,48,5.992,0.69384,0.89521,0.65213,0.46582,0.29773,0.16292,201648,1.9447666383532343
Uzbekistan,2016,49,5.987,0.73591,1.1681,0.50163,0.60848,0.34326,0.28333,201649,1.9440512795703135
Italy,2016,50,5.977,1.35495,1.04167,0.85102,0.18827,0.16684,0.02556,201650,1.9426190249570996
Ecuador,2016,51,5.976,0.97306,0.85974,0.68613,0.4027,0.10074,0.18037,201651,1.9424756866066786
Belize,2016,52,5.956,0.87616,0.68655,0.45569,0.51231,0.23684,0.10771,201652,1.9396045964920368
Japan,2016,53,5.921,1.38007,1.06054,0.91491,0.46761,0.10224,0.18985,201653,1.9345602678597262
Kazakhstan,2016,54,5.919,1.22943,0.95544,0.57386,0.4052,0.15011,0.11132,201654,1.934271250516674
Moldova,2016,55,5.897,0.69177,0.83132,0.52309,0.25202,0.19997,0.01903,201655,1.9310865344491543
Russia,2016,56,5.856,1.23228,1.05261,0.58991,0.32682,0.02736,0.03586,201656,1.9251241812954787
Poland,2016,57,5.835,1.24585,1.04685,0.69058,0.4519,0.14443,0.055,201657,1.9220564701759129
South Korea,2016,57,5.835,1.35948,0.72194,0.88645,0.25168,0.18824,0.07716,201658,1.9220564701759129
Bolivia,2016,59,5.822,0.79422,0.83779,0.4697,0.50961,0.21698,0.07746,201659,1.920152683996454
Lithuania,2016,60,5.813,1.2692,1.06411,0.64674,0.18929,0.02025,0.0182,201660,1.918832551791531
Belarus,2016,61,5.802,1.13062,1.04993,0.63104,0.29091,0.13942,0.17457,201661,1.9172166865850038
North Cyprus,2016,62,5.771,1.31141,0.81826,0.84142,0.43596,0.26322,0.16578,201662,1.9126487865035082
Slovenia,2016,63,5.768,1.29947,1.05613,0.79151,0.53164,0.25738,0.03635,201663,1.912205622303922
Peru,2016,64,5.743,0.99602,0.81255,0.62994,0.37502,0.14527,0.05292,201664,1.908504929752445
Turkmenistan,2016,65,5.658,1.08017,1.03817,0.44006,0.37408,0.22567,0.28467,201665,1.8958191391528332
Mauritius,2016,66,5.648,1.14372,0.75695,0.66189,0.46145,0.36951,0.05203,201666,1.894316057553147
Libya,2016,67,5.615,1.06688,0.95076,0.52304,0.40672,0.17087,0.10339,201667,1.889339797566919
Latvia,2016,68,5.56,1.21788,0.95025,0.63952,0.27996,0.17445,0.0889,201668,1.8809906029559977
Cyprus,2016,69,5.546,1.31857,0.70697,0.8488,0.29507,0.27906,0.05228,201669,1.8788541760789887
